Yield,Beta,c,Env,E[T],Var[T]
45.0,1.7782794100389228,-2.5,rich,1.0000000000000053,5.329070518219253e-15
45.0,1.7782794100389228,-2.5,poor,1.0,0.0
57.5,1.7782794100389228,-2.5,rich,1.0,0.0
57.5,1.7782794100389228,-2.5,poor,1.0,0.0
32.5,1.7782794100389228,-1.0,rich,1.0000010944250806,1.09453964650548e-06
32.5,1.7782794100389228,-1.0,poor,1.000000003080178,3.0801788073383593e-09
45.0,1.7782794100389228,-1.0,rich,1.000000000000001,1.110223024626017e-15
45.0,1.7782794100389228,-1.0,poor,1.0,0.0
57.5,1.7782794100389228,-1.0,rich,1.0,0.0
57.5,1.7782794100389228,-1.0,poor,1.0,0.0
32.5,1.7782794100389228,0.5,rich,1.0000002441894347,2.441951219055083e-07
32.5,1.7782794100389228,0.5,poor,1.0000000006872805,6.872805225246469e-10
45.0,1.7782794100389228,0.5,rich,1.0000000000000002,2.220446049250697e-16
45.0,1.7782794100389228,0.5,poor,1.0,0.0
57.5,1.7782794100389228,0.5,rich,1.0,0.0
57.5,1.7782794100389228,0.5,poor,1.0,0.0
32.5,1.7782794100389228,2.0,rich,1.00000005448554,5.448582308733629e-08
32.5,1.7782794100389228,2.0,poor,1.000000000153353,1.533531113633443e-10
45.0,1.7782794100389228,2.0,rich,1.0,0.0
45.0,1.7782794100389228,2.0,poor,1.0,0.0
57.5,1.7782794100389228,2.0,rich,1.0,0.0
57.5,1.7782794100389228,2.0,poor,1.0,0.0
32.5,10.0,-4.0,rich,1.0,0.0
32.5,10.0,-4.0,poor,1.0,0.0
45.0,10.0,-4.0,rich,1.0,0.0
45.0,10.0,-4.0,poor,1.0,0.0
57.5,10.0,-4.0,rich,1.0,0.0
57.5,10.0,-4.0,poor,1.0,0.0
32.5,10.0,-2.5,rich,1.0,0.0
32.5,10.0,-2.5,poor,1.0,0.0
45.0,10.0,-2.5,rich,1.0,0.0
45.0,10.0,-2.5,poor,1.0,0.0
57.5,10.0,-2.5,rich,1.0,0.0
57.5,10.0,-2.5,poor,1.0,0.0
32.5,10.0,-1.0,rich,1.0,0.0
32.5,10.0,-1.0,poor,1.0,0.0
45.0,10.0,-1.0,rich,1.0,0.0
45.0,10.0,-1.0,poor,1.0,0.0
57.5,10.0,-1.0,rich,1.0,0.0
57.5,10.0,-1.0,poor,1.0,0.0
32.5,10.0,0.5,rich,1.0,0.0
32.5,10.0,0.5,poor,1.0,0.0
45.0,10.0,0.5,rich,1.0,0.0
45.0,10.0,0.5,poor,1.0,0.0
57.5,10.0,0.5,rich,1.0,0.0
57.5,10.0,0.5,poor,1.0,0.0
32.5,10.0,2.0,rich,1.0,0.0
32.5,10.0,2.0,poor,1.0,0.0
45.0,10.0,2.0,rich,1.0,0.0
45.0,10.0,2.0,poor,1.0,0.0
57.5,10.0,2.0,rich,1.0,0.0
57.5,10.0,2.0,poor,1.0,0.0
